date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:46	8218/8218	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Apr%202023%2005:59:46%20GMT	https://instantfxoptiontrade.com/dashboard/customer.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/dashboard/customer.0.delayed	(from )
00:59:46	43146/43146	U--MC-	200	updated ('OK')	text/html	date:Mon,%2017%20Apr%202023%2005:59:47%20GMT	https://instantfxoptiontrade.com/register.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/register.html	(from )
00:59:47	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2005:59:47%20GMT	https://instantfxoptiontrade.com/robots.txt		(from )
00:59:48	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2005:59:48%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/images/favicon.png	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/images/favicon.png	(from https://instantfxoptiontrade.com/register.php)
00:59:49	30915/30915	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:48:08%20GMT	https://instantfxoptiontrade.com/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	(from https://instantfxoptiontrade.com/register.php)
00:59:49	324/324	U-----	200	untouched ('OK')	text/html	date:Sun,%2009%20Aug%202020%2002:19:24%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/components.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/css/components.html	(from https://instantfxoptiontrade.com/register.php)
00:59:49	41375/41375	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:10%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/bootstrap.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/css/bootstrap.css	(from https://instantfxoptiontrade.com/register.php)
00:59:49	51302/51302	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:19:58%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/core.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/css/core.css	(from https://instantfxoptiontrade.com/register.php)
00:59:50	62/62	---MCZ	302	error ('Found')	text/plain	date:Mon,%2017%20Apr%202023%2005:59:50%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/unpkg.com/sweetalert/dist/sweetalert.min.10.delayed	(from https://instantfxoptiontrade.com/register.php)
00:59:50	1716/1716	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:44%20GMT	https://instantfxoptiontrade.com/data/design/cryptonode/css/button.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/data/design/cryptonode/css/button.css	(from https://instantfxoptiontrade.com/register.php)
00:59:50	31000/31000	U-----	200	untouched ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://instantfxoptiontrade.com/register.php)
00:59:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2005:59:51%20GMT	https://instantfxoptiontrade.com/signup.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/signup.html	(from https://instantfxoptiontrade.com/register.php)
00:59:50	53592/53592	U-----	200	untouched ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://instantfxoptiontrade.com/register.php)
00:59:50	35891/35891	U-----	200	untouched ('')	image/png	date:Fri,%2008%20Oct%202021%2005:09:10%20GMT	https://instantfxoptiontrade.com/images/bitcoin31.png	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptiontrade.com/images/bitcoin31.png	(from https://instantfxoptiontrade.com/register.php)
